Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-10-14 15:23:44.400 +0530,"Failure",0:00:19,1,0,1,"20241014_152344.400/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: name",0
2024-10-14 15:24:20.813 +0530,"Aborted",0:01:11,1,0,0,"20241014_152420.813/LogFile.txt","","",0
2024-10-14 15:25:35.212 +0530,"Aborted",0:00:43,1,0,1,"20241014_152535.212/LogFile.txt","","",0
2024-10-14 15:26:39.610 +0530,"Success",0:00:22,0,0,0,"20241014_152639.610/LogFile.txt","","",1
2024-10-14 15:27:44.736 +0530,"Success",0:00:22,0,0,0,"20241014_152744.736/LogFile.txt","","",1
2024-10-14 15:29:12.598 +0530,"Success",0:00:46,0,0,0,"20241014_152912.598/LogFile.txt","","",1
2024-10-14 15:31:57.960 +0530,"Success",0:00:22,0,0,0,"20241014_153157.960/LogFile.txt","","",1
2024-10-14 15:33:09.219 +0530,"Success",0:00:24,0,0,0,"20241014_153309.219/LogFile.txt","","",1
2024-10-14 15:37:02.898 +0530,"Aborted",0:00:43,1,0,0,"20241014_153702.898/LogFile.txt","","",0
2024-10-14 15:37:51.713 +0530,"Success",0:00:17,0,0,0,"20241014_153751.713/LogFile.txt","","",1
2024-10-14 15:38:59.676 +0530,"Success",0:00:31,0,0,0,"20241014_153859.676/LogFile.txt","","",1
2024-10-14 15:40:01.217 +0530,"Success",0:00:39,0,0,0,"20241014_154001.217/LogFile.txt","","",1
2024-10-14 15:41:15.738 +0530,"Success",0:00:22,0,0,0,"20241014_154115.738/LogFile.txt","","",1
2024-10-14 15:41:58.054 +0530,"Success",0:00:17,0,0,0,"20241014_154158.054/LogFile.txt","","",1
2024-10-14 15:42:52.128 +0530,"Aborted",0:00:08,1,0,0,"20241014_154252.128/LogFile.txt","","",0
2024-10-14 15:43:02.802 +0530,"Success",0:00:17,0,0,0,"20241014_154302.802/LogFile.txt","","",1
2024-10-14 15:44:28.310 +0530,"Success",0:00:17,0,0,0,"20241014_154428.310/LogFile.txt","","",1
2024-10-14 15:47:36.989 +0530,"Success",0:00:22,0,0,0,"20241014_154736.989/LogFile.txt","","",1
2024-10-14 15:56:19.451 +0530,"Success",0:00:23,0,0,0,"20241014_155619.451/LogFile.txt","","",1
2024-10-14 15:57:10.434 +0530,"Aborted",0:00:04,1,0,0,"20241014_155710.434/LogFile.txt","","",0
2024-10-14 16:07:54.905 +0530,"Aborted",0:02:28,1,0,0,"20241014_160754.905/LogFile.txt","","",0
2024-10-14 16:10:26.804 +0530,"Success",0:01:12,0,0,0,"20241014_161026.804/LogFile.txt","","",1
2024-10-14 16:11:58.336 +0530,"Success",0:00:33,0,0,0,"20241014_161158.336/LogFile.txt","","",1
2024-10-14 16:12:58.523 +0530,"Success",0:00:29,0,0,0,"20241014_161258.523/LogFile.txt","","",1
2024-10-14 16:25:49.538 +0530,"Aborted",0:00:08,1,0,1,"20241014_162549.538/LogFile.txt","","",0
2024-10-14 16:34:52.568 +0530,"Aborted",0:00:29,1,0,1,"20241014_163452.568/LogFile.txt","","",0
2025-02-25 15:10:52.509 +0530,"Failure",0:00:00,1,0,1,"20250225_151052.509/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2025-02-25 15:12:31.841 +0530,"Aborted",0:00:07,1,0,0,"20250225_151231.841/LogFile.txt","","",0
